document_id,pdf_filename,extraction_status,extraction_method,text_length,page_count,language,quality_flags,duplicate_candidate,duplicate_of,duplicate_reason,processing_status,exclusion_reason,extraction_error
42,0042.pdf,no_text,,0,1,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
43,0043.pdf,no_text,,12,5,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
44,0044.pdf,no_text,,3,2,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
45,0045.pdf,no_text,,3,2,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
46,0046.pdf,no_text,,3,2,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
47,0047.pdf,success,layout,280572,70,English,"[""possible_badly_extracted_table""]",False,,,included,,
48,0048.pdf,success,layout,414104,125,English,"[""possible_badly_extracted_table""]",False,,,included,,
49,0049.pdf,success,layout,37319,15,English,"[""possible_badly_extracted_table""]",False,,,included,,
50,0050.pdf,success,layout,2612,1,English,"[""possible_badly_extracted_table"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review""]",False,,,included,,
51,0051.pdf,success,layout,6818,2,mixed Hindi/English,"[""possible_badly_extracted_table""]",False,,,needs_review,mixed_language_requires_review,
52,0052.pdf,success,layout,2724,1,English,"[""possible_badly_extracted_table"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review""]",False,,,included,,
53,0053.pdf,success,layout,2612,1,English,"[""possible_badly_extracted_table"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review""]",False,,,included,,
54,0054.pdf,success,layout,233909,31,English,"[""possible_badly_extracted_table""]",False,,,included,,
55,0055.pdf,success,layout,3416,1,English,[],False,,,included,,
56,0056.pdf,no_text,,3,2,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
57,0057.pdf,success,layout,2850,1,English,"[""possible_badly_extracted_table"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review""]",False,,,included,,
58,0058.pdf,success,layout,2642,1,mixed Hindi/English,"[""possible_badly_extracted_table""]",False,,,needs_review,mixed_language_requires_review,
59,0059.pdf,success,layout,2847,1,English,"[""possible_badly_extracted_table"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review""]",False,,,included,,
60,0060.pdf,success,layout,1352,1,English,[],False,,,included,,
61,0061.pdf,success,layout,596431,31,English,"[""possible_badly_extracted_table""]",False,,,included,,
62,0062.pdf,success,layout,448486,37,English,"[""possible_badly_extracted_table""]",False,,,included,,
63,0063.pdf,success,layout,4183,1,English,[],False,,,included,,
64,0064.pdf,success,layout,3844,1,English,[],False,,,included,,
65,0065.pdf,success,layout,2847,1,English,"[""possible_badly_extracted_table"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review""]",False,,,included,,
66,0066.pdf,success,layout,2850,1,English,"[""possible_badly_extracted_table"", ""near_duplicate_similarity_review"", ""near_duplicate_similarity_review""]",False,,,included,,
67,0067.pdf,success,layout,145126,19,English,"[""possible_badly_extracted_table""]",False,,,included,,
68,0068.pdf,success,layout,2866,1,English,"[""possible_badly_extracted_table""]",False,,,included,,
69,0069.pdf,success,default_fallback,408708,153,English,[],False,,,included,,
70,0070.pdf,success,layout,1637,1,English,[],False,,,included,,
